District,Year,Season,Crop,Area,Production,Productivity
AMRAVATI,2010,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2010,Kharif     ,Jowar,48400,51700,1.068181818
AMRAVATI,2010,Kharif     ,Soyabean,273300,444500,1.626417856
AMRAVATI,2010,Kharif     ,Sugarcane,300,20700,69
AMRAVATI,2010,Rabi       ,Jowar,1100,1100,1
AMRAVATI,2011,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2011,Kharif     ,Jowar,39700,58300,1.468513854
AMRAVATI,2011,Kharif     ,Soyabean,296700,373100,1.257499157
AMRAVATI,2011,Rabi       ,Jowar,600,500,0.833333333
AMRAVATI,2011,Whole Year ,Sugarcane,400,28700,71.75
AMRAVATI,2012,Kharif     ,Bajra,300,200,0.666666667
AMRAVATI,2012,Kharif     ,Jowar,37700,49000,1.299734748
AMRAVATI,2012,Kharif     ,Soyabean,309500,471800,1.524394184
AMRAVATI,2012,Whole Year ,Sugarcane,300,16700,55.66666667
AMRAVATI,2013,Kharif     ,Jowar,35200,22700,0.644886364
AMRAVATI,2013,Kharif     ,Soyabean,366400,352700,0.96260917
AMRAVATI,2013,Whole Year ,Sugarcane,300,21700,72.33333333
AMRAVATI,2014,Kharif     ,Jowar,26800,27400,1.02238806
AMRAVATI,2014,Kharif     ,Soyabean,370600,128300,0.346195359
AMRAVATI,2014,Rabi       ,Jowar,200,200,1
AMRAVATI,2014,Whole Year ,Sugarcane,400,16100,40.25
AURANGABAD,2001,Kharif     ,Bajra,137400,86700,0.631004367
AURANGABAD,2001,Kharif     ,Jowar,25900,27500,1.061776062
AURANGABAD,2001,Kharif     ,Soyabean,1900,2000,1.052631579
AURANGABAD,2001,Rabi       ,Jowar,212900,123900,0.581963363
AURANGABAD,2001,Whole Year ,Sugarcane,10300,521500,50.63106796
AURANGABAD,2002,Kharif     ,Bajra,149900,131100,0.874583055
AURANGABAD,2002,Kharif     ,Jowar,24400,34400,1.409836066
AURANGABAD,2002,Kharif     ,Soyabean,2700,4100,1.518518519
AURANGABAD,2002,Rabi       ,Jowar,147500,82400,0.558644068
AURANGABAD,2002,Whole Year ,Sugarcane,11800,735000,62.28813559
AURANGABAD,2003,Kharif     ,Bajra,128700,110200,0.856254856
AURANGABAD,2003,Kharif     ,Jowar,17900,23800,1.329608939
AURANGABAD,2003,Kharif     ,Soyabean,4600,6200,1.347826087
AURANGABAD,2003,Rabi       ,Jowar,170000,61300,0.360588235
AURANGABAD,2003,Whole Year ,Sugarcane,8400,377300,44.91666667
